2026-07-31T11:54:24.145681716Z [inf]  Starting Container
2026-07-31T11:54:51.400063224Z [inf]      )
2026-07-31T11:54:51.400067399Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400069778Z [inf]      ^
2026-07-31T11:54:51.400073626Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 187, in _propagate_event
2026-07-31T11:54:51.400076761Z [inf]      response = await observer.trigger(event, **kwargs)
2026-07-31T11:54:51.401413180Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/handler.py", line 71, in call
2026-07-31T11:54:51.401416408Z [inf]      return await wrapped()
2026-07-31T11:54:51.401419245Z [inf]             ^^^^^^^^^^^^^^^
2026-07-31T11:54:51.401422386Z [inf]    File "/app/handlers/admin.py", line 43, in settings_forcesub_start_reply
2026-07-31T11:54:51.401425456Z [inf]      await message.answer(text, reply_markup=get_forcesub_settings_keyboard(), parse_mode="HTML")
2026-07-31T11:54:51.401428159Z [inf]                                              ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^
2026-07-31T11:54:51.401430869Z [inf]  TypeError: get_forcesub_settings_keyboard() missing 1 required positional argument: 'channels'
2026-07-31T11:55:01.337551780Z [inf]  INFO:aiogram.event:Update id=976932686 is handled. Duration 184 ms by bot id=8678096283
2026-07-31T11:55:21.265752573Z [inf]  INFO:aiogram.event:Update id=976932687 is handled. Duration 247 ms by bot id=8678096283
2026-07-31T11:55:21.265766229Z [inf]  INFO:aiogram.event:Update id=976932688 is handled. Duration 360 ms by bot id=8678096283
2026-07-31T11:55:21.265771585Z [inf]  INFO:aiogram.event:Update id=976932689 is not handled. Duration 1 ms by bot id=8678096283
2026-07-31T11:55:21.265777617Z [inf]  ERROR:aiogram.event:Cause exception while process update id=976932689 by bot id=8678096283
2026-07-31T11:55:21.265783324Z [inf]  TypeError: get_forcesub_settings_keyboard() missing 1 required positional argument: 'channels'
2026-07-31T11:55:21.265788917Z [inf]  Traceback (most recent call last):
2026-07-31T11:55:21.265794231Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 320, in _process_update
2026-07-31T11:55:21.265798886Z [inf]      response = await self.feed_update(bot, update, **kwargs)
2026-07-31T11:55:21.265802855Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.265807112Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 164, in feed_update
2026-07-31T11:55:21.265811281Z [inf]      response = await self.update.wrap_outer_middleware(
2026-07-31T11:55:21.265815395Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.265820378Z [inf]      ...<7 lines>...
2026-07-31T11:55:21.265825419Z [inf]      )
2026-07-31T11:55:21.265830477Z [inf]      ^
2026-07-31T11:55:21.265834995Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/middlewares/error.py", line 27, in __call__
2026-07-31T11:55:21.265839851Z [inf]      return await handler(event, data)
2026-07-31T11:55:21.265844658Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.265848730Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/middlewares/user_context.py", line 58, in __call__
2026-07-31T11:55:21.267164144Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 159, in _wrapped
2026-07-31T11:55:21.267165371Z [inf]      return await handler(event, data)
2026-07-31T11:55:21.267175356Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.267183601Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/fsm/middleware.py", line 43, in __call__
2026-07-31T11:55:21.267191346Z [inf]      return await handler(event, data)
2026-07-31T11:55:21.267196829Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.267201684Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/telegram.py", line 126, in trigger
2026-07-31T11:55:21.267206058Z [inf]      return await wrapped_inner(event, kwargs)
2026-07-31T11:55:21.267210213Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.267217327Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/handler.py", line 71, in call
2026-07-31T11:55:21.267225730Z [inf]      return await wrapped()
2026-07-31T11:55:21.267230808Z [inf]             ^^^^^^^^^^^^^^^
2026-07-31T11:55:21.267235211Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 283, in _listen_update
2026-07-31T11:55:21.267239918Z [inf]      return await self.propagate_event(update_type=update_type, event=event, **kwargs)
2026-07-31T11:55:21.267243879Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.267248270Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 167, in propagate_event
2026-07-31T11:55:21.267256073Z [inf]      return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
2026-07-31T11:55:21.267263680Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268718300Z [inf]      )
2026-07-31T11:55:21.268725534Z [inf]      ^
2026-07-31T11:55:21.268732316Z [inf]      return await self._propagate_event(
2026-07-31T11:55:21.268732852Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 187, in _propagate_event
2026-07-31T11:55:21.268745581Z [inf]      response = await observer.trigger(event, **kwargs)
2026-07-31T11:55:21.268747699Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268754935Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268755884Z [inf]      ...<4 lines>...
2026-07-31T11:55:21.268764019Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/telegram.py", line 126, in trigger
2026-07-31T11:55:21.268764929Z [inf]      )
2026-07-31T11:55:21.268778693Z [inf]      ^
2026-07-31T11:55:21.268785279Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 195, in _propagate_event
2026-07-31T11:55:21.268790037Z [inf]      response = await router.propagate_event(update_type=update_type, event=event, **kwargs)
2026-07-31T11:55:21.268793961Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268797064Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 167, in propagate_event
2026-07-31T11:55:21.268800472Z [inf]      return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
2026-07-31T11:55:21.268805045Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268808736Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 159, in _wrapped
2026-07-31T11:55:21.268812219Z [inf]      return await self._propagate_event(
2026-07-31T11:55:21.268815390Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.268818531Z [inf]      ...<4 lines>...
2026-07-31T11:55:21.269517544Z [inf]      return await wrapped_inner(event, kwargs)
2026-07-31T11:55:21.269521283Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.269524738Z [inf]    File "/app/middlewares/forcesub.py", line 34, in __call__
2026-07-31T11:55:21.269527685Z [inf]      return await handler(event, data)
2026-07-31T11:55:21.269531113Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:55:21.269533930Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/handler.py", line 71, in call
2026-07-31T11:55:21.269537415Z [inf]      return await wrapped()
2026-07-31T11:55:21.269540239Z [inf]             ^^^^^^^^^^^^^^^
2026-07-31T11:55:21.269543757Z [inf]    File "/app/handlers/admin.py", line 43, in settings_forcesub_start_reply
2026-07-31T11:55:21.269547110Z [inf]      await message.answer(text, reply_markup=get_forcesub_settings_keyboard(), parse_mode="HTML")
2026-07-31T11:55:21.269550835Z [inf]                                              ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^
2026-07-31T11:55:21.269554734Z [inf]  TypeError: get_forcesub_settings_keyboard() missing 1 required positional argument: 'channels'
